period,origin_country,dest_country,flight_count
TP1,阿联酋,澳大利亚,2812
TP1,阿联酋,巴西,459
TP1,阿联酋,加拿大,653
TP1,阿联酋,瑞士,2129
TP1,阿联酋,德国,5923
TP1,阿联酋,西班牙,1676
TP1,阿联酋,法国,2623
TP1,阿联酋,北爱尔兰,9367
TP1,阿联酋,印度,20023
TP1,阿联酋,意大利,2793
TP1,阿联酋,日本,539
TP1,阿联酋,荷兰,2037
TP1,阿联酋,俄罗斯,4581
TP1,阿联酋,瑞典,672
TP1,阿联酋,美国,4444
TP1,澳大利亚,阿联酋,4376
TP1,澳大利亚,巴西,13
TP1,澳大利亚,加拿大,995
TP1,澳大利亚,瑞士,37
TP1,澳大利亚,德国,300
TP1,澳大利亚,西班牙,100
TP1,澳大利亚,法国,170
TP1,澳大利亚,北爱尔兰,1172
TP1,澳大利亚,印度,615
TP1,澳大利亚,意大利,116
TP1,澳大利亚,日本,678
TP1,澳大利亚,荷兰,112
TP1,澳大利亚,俄罗斯,79
TP1,澳大利亚,瑞典,34
TP1,澳大利亚,美国,5368
TP1,巴西,阿联酋,544
TP1,巴西,澳大利亚,7
TP1,巴西,加拿大,449
TP1,巴西,瑞士,385
TP1,巴西,德国,795
TP1,巴西,西班牙,1510
TP1,巴西,法国,1310
TP1,巴西,北爱尔兰,885
TP1,巴西,印度,3
TP1,巴西,意大利,1259
TP1,巴西,日本,2
TP1,巴西,荷兰,528
TP1,巴西,俄罗斯,8
TP1,巴西,瑞典,4
TP1,巴西,美国,6606
TP1,加拿大,阿联酋,563
TP1,加拿大,澳大利亚,987
TP1,加拿大,巴西,403
TP1,加拿大,瑞士,1141
TP1,加拿大,德国,3758
TP1,加拿大,西班牙,933
TP1,加拿大,法国,3778
TP1,加拿大,北爱尔兰,6640
TP1,加拿大,印度,667
TP1,加拿大,意大利,1420
TP1,加拿大,日本,290
TP1,加拿大,荷兰,1780
TP1,加拿大,俄罗斯,9
TP1,加拿大,瑞典,17
TP1,加拿大,美国,117848
TP1,瑞士,阿联酋,2244
TP1,瑞士,澳大利亚,1
TP1,瑞士,巴西,382
TP1,瑞士,加拿大,1121
TP1,瑞士,德国,27832
TP1,瑞士,西班牙,12709
TP1,瑞士,法国,12894
TP1,瑞士,北爱尔兰,29029
TP1,瑞士,印度,688
TP1,瑞士,意大利,10786
TP1,瑞士,日本,27
TP1,瑞士,荷兰,6277
TP1,瑞士,俄罗斯,3159
TP1,瑞士,瑞典,2687
TP1,瑞士,美国,6088
TP1,德国,阿联酋,5838
TP1,德国,澳大利亚,4
TP1,德国,巴西,878
TP1,德国,加拿大,3851
TP1,德国,瑞士,27148
TP1,德国,西班牙,34368
TP1,德国,法国,24561
TP1,德国,北爱尔兰,54784
TP1,德国,印度,3275
TP1,德国,意大利,38344
TP1,德国,日本,659
TP1,德国,荷兰,15289
TP1,德国,俄罗斯,15088
TP1,德国,瑞典,12037
TP1,德国,美国,20308
TP1,西班牙,阿联酋,1647
TP1,西班牙,澳大利亚,17
TP1,西班牙,巴西,1520
TP1,西班牙,加拿大,993
TP1,西班牙,瑞士,13619
TP1,西班牙,德国,35642
TP1,西班牙,法国,28018
TP1,西班牙,北爱尔兰,60793
TP1,西班牙,印度,149
TP1,西班牙,意大利,24837
TP1,西班牙,日本,14
TP1,西班牙,荷兰,12565
TP1,西班牙,俄罗斯,4737
TP1,西班牙,瑞典,5220
TP1,西班牙,美国,9129
TP1,法国,阿联酋,2433
TP1,法国,巴西,1240
TP1,法国,加拿大,3443
TP1,法国,瑞士,13206
TP1,法国,德国,22586
TP1,法国,西班牙,26269
TP1,法国,北爱尔兰,30879
TP1,法国,印度,1827
TP1,法国,意大利,26043
TP1,法国,日本,566
TP1,法国,荷兰,7420
TP1,法国,俄罗斯,5081
TP1,法国,瑞典,3123
TP1,法国,美国,14281
TP1,北爱尔兰,阿联酋,9250
TP1,北爱尔兰,澳大利亚,404
TP1,北爱尔兰,巴西,713
TP1,北爱尔兰,加拿大,6352
TP1,北爱尔兰,瑞士,28325
TP1,北爱尔兰,德国,51617
TP1,北爱尔兰,西班牙,46233
TP1,北爱尔兰,法国,31174
TP1,北爱尔兰,印度,4368
TP1,北爱尔兰,意大利,36091
TP1,北爱尔兰,日本,258
TP1,北爱尔兰,荷兰,29973
TP1,北爱尔兰,俄罗斯,3611
TP1,北爱尔兰,瑞典,9388
TP1,北爱尔兰,美国,42843
TP1,印度,阿联酋,16781
TP1,印度,澳大利亚,499
TP1,印度,巴西,35
TP1,印度,加拿大,610
TP1,印度,瑞士,675
TP1,印度,德国,3358
TP1,印度,西班牙,161
TP1,印度,法国,1576
TP1,印度,北爱尔兰,4188
TP1,印度,意大利,934
TP1,印度,日本,158
TP1,印度,荷兰,822
TP1,印度,俄罗斯,836
TP1,印度,瑞典,213
TP1,印度,美国,1489
TP1,意大利,阿联酋,3050
TP1,意大利,澳大利亚,8
TP1,意大利,巴西,1215
TP1,意大利,加拿大,1472
TP1,意大利,瑞士,10389
TP1,意大利,德国,41505
TP1,意大利,西班牙,26241
TP1,意大利,法国,28163
TP1,意大利,北爱尔兰,40370
TP1,意大利,印度,760
TP1,意大利,日本,170
TP1,意大利,荷兰,10559
TP1,意大利,俄罗斯,9594
TP1,意大利,瑞典,2059
TP1,意大利,美国,8668
TP1,日本,阿联酋,541
TP1,日本,澳大利亚,1184
TP1,日本,巴西,1
TP1,日本,加拿大,689
TP1,日本,瑞士,58
TP1,日本,德国,1611
TP1,日本,西班牙,59
TP1,日本,法国,1312
TP1,日本,北爱尔兰,1103
TP1,日本,印度,169
TP1,日本,意大利,74
TP1,日本,荷兰,483
TP1,日本,俄罗斯,94
TP1,日本,瑞典,42
TP1,日本,美国,5310
TP1,荷兰,阿联酋,2239
TP1,荷兰,澳大利亚,1
TP1,荷兰,巴西,594
TP1,荷兰,加拿大,1806
TP1,荷兰,瑞士,5942
TP1,荷兰,德国,15479
TP1,荷兰,西班牙,11759
TP1,荷兰,法国,8576
TP1,荷兰,北爱尔兰,33531
TP1,荷兰,印度,908
TP1,荷兰,意大利,11085
TP1,荷兰,日本,367
TP1,荷兰,俄罗斯,2733
TP1,荷兰,瑞典,4339
TP1,荷兰,美国,9985
TP1,俄罗斯,阿联酋,4551
TP1,俄罗斯,澳大利亚,20
TP1,俄罗斯,巴西,5
TP1,俄罗斯,加拿大,3
TP1,俄罗斯,瑞士,3280
TP1,俄罗斯,德国,16207
TP1,俄罗斯,西班牙,4920
TP1,俄罗斯,法国,5753
TP1,俄罗斯,北爱尔兰,4363
TP1,俄罗斯,印度,815
TP1,俄罗斯,意大利,9388
TP1,俄罗斯,日本,98
TP1,俄罗斯,荷兰,2630
TP1,俄罗斯,瑞典,1644
TP1,俄罗斯,美国,2023
TP1,瑞典,阿联酋,647
TP1,瑞典,澳大利亚,1
TP1,瑞典,巴西,5
TP1,瑞典,加拿大,7
TP1,瑞典,瑞士,2536
TP1,瑞典,德国,11083
TP1,瑞典,西班牙,4133
TP1,瑞典,法国,3114
TP1,瑞典,北爱尔兰,9397
TP1,瑞典,印度,152
TP1,瑞典,意大利,1942
TP1,瑞典,日本,2
TP1,瑞典,荷兰,3743
TP1,瑞典,俄罗斯,1455
TP1,瑞典,美国,1639
TP1,美国,阿联酋,4729
TP1,美国,澳大利亚,5840
TP1,美国,巴西,6777
TP1,美国,加拿大,120840
TP1,美国,瑞士,6116
TP1,美国,德国,20603
TP1,美国,西班牙,8259
TP1,美国,法国,14554
TP1,美国,北爱尔兰,44336
TP1,美国,印度,2006
TP1,美国,意大利,8036
TP1,美国,日本,3315
TP1,美国,荷兰,10702
TP1,美国,俄罗斯,1670
TP1,美国,瑞典,1591
TP2,阿联酋,澳大利亚,711
TP2,阿联酋,巴西,166
TP2,阿联酋,加拿大,156
TP2,阿联酋,瑞士,541
TP2,阿联酋,德国,1901
TP2,阿联酋,西班牙,464
TP2,阿联酋,法国,816
TP2,阿联酋,北爱尔兰,2264
TP2,阿联酋,印度,5315
TP2,阿联酋,意大利,629
TP2,阿联酋,日本,182
TP2,阿联酋,荷兰,680
TP2,阿联酋,新西兰,169
TP2,阿联酋,俄罗斯,1299
TP2,阿联酋,美国,1131
TP2,澳大利亚,阿联酋,1060
TP2,澳大利亚,巴西,11
TP2,澳大利亚,加拿大,258
TP2,澳大利亚,瑞士,5
TP2,澳大利亚,德国,37
TP2,澳大利亚,西班牙,9
TP2,澳大利亚,法国,28
TP2,澳大利亚,北爱尔兰,136
TP2,澳大利亚,印度,118
TP2,澳大利亚,意大利,11
TP2,澳大利亚,日本,240
TP2,澳大利亚,荷兰,7
TP2,澳大利亚,新西兰,5215
TP2,澳大利亚,俄罗斯,5
TP2,澳大利亚,美国,1569
TP2,巴西,阿联酋,157
TP2,巴西,澳大利亚,5
TP2,巴西,加拿大,148
TP2,巴西,瑞士,113
TP2,巴西,德国,297
TP2,巴西,西班牙,366
TP2,巴西,法国,358
TP2,巴西,北爱尔兰,311
TP2,巴西,印度,2
TP2,巴西,意大利,257
TP2,巴西,荷兰,221
TP2,巴西,美国,2434
TP2,加拿大,阿联酋,182
TP2,加拿大,澳大利亚,262
TP2,加拿大,巴西,137
TP2,加拿大,瑞士,282
TP2,加拿大,德国,879
TP2,加拿大,西班牙,111
TP2,加拿大,法国,773
TP2,加拿大,北爱尔兰,1502
TP2,加拿大,印度,252
TP2,加拿大,意大利,27
TP2,加拿大,日本,117
TP2,加拿大,荷兰,416
TP2,加拿大,新西兰,146
TP2,加拿大,俄罗斯,2
TP2,加拿大,美国,39865
TP2,瑞士,阿联酋,632
TP2,瑞士,巴西,141
TP2,瑞士,加拿大,299
TP2,瑞士,德国,7339
TP2,瑞士,西班牙,2829
TP2,瑞士,法国,2960
TP2,瑞士,北爱尔兰,8893
TP2,瑞士,印度,163
TP2,瑞士,意大利,2217
TP2,瑞士,日本,14
TP2,瑞士,荷兰,1517
TP2,瑞士,俄罗斯,879
TP2,瑞士,美国,1393
TP2,德国,阿联酋,1934
TP2,德国,澳大利亚,8
TP2,德国,巴西,403
TP2,德国,加拿大,946
TP2,德国,瑞士,7202
TP2,德国,西班牙,9023
TP2,德国,法国,6916
TP2,德国,北爱尔兰,13839
TP2,德国,印度,864
TP2,德国,意大利,9809
TP2,德国,日本,373
TP2,德国,荷兰,3946
TP2,德国,俄罗斯,3662
TP2,德国,美国,6600
TP2,西班牙,阿联酋,488
TP2,西班牙,巴西,382
TP2,西班牙,加拿大,113
TP2,西班牙,瑞士,2884
TP2,西班牙,德国,8919
TP2,西班牙,法国,5767
TP2,西班牙,北爱尔兰,10494
TP2,西班牙,印度,37
TP2,西班牙,意大利,5554
TP2,西班牙,日本,3
TP2,西班牙,荷兰,2595
TP2,西班牙,俄罗斯,852
TP2,西班牙,美国,1745
TP2,法国,阿联酋,801
TP2,法国,澳大利亚,2
TP2,法国,巴西,347
TP2,法国,加拿大,761
TP2,法国,瑞士,3145
TP2,法国,德国,6971
TP2,法国,西班牙,5843
TP2,法国,北爱尔兰,7909
TP2,法国,印度,507
TP2,法国,意大利,5942
TP2,法国,日本,312
TP2,法国,荷兰,1944
TP2,法国,俄罗斯,1093
TP2,法国,美国,3337
TP2,北爱尔兰,阿联酋,2419
TP2,北爱尔兰,澳大利亚,102
TP2,北爱尔兰,巴西,299
TP2,北爱尔兰,加拿大,1475
TP2,北爱尔兰,瑞士,8809
TP2,北爱尔兰,德国,13791
TP2,北爱尔兰,西班牙,9582
TP2,北爱尔兰,法国,7834
TP2,北爱尔兰,印度,1090
TP2,北爱尔兰,意大利,8408
TP2,北爱尔兰,日本,276
TP2,北爱尔兰,荷兰,7554
TP2,北爱尔兰,新西兰,1
TP2,北爱尔兰,俄罗斯,1122
TP2,北爱尔兰,美国,11173
TP2,印度,阿联酋,5410
TP2,印度,澳大利亚,125
TP2,印度,巴西,17
TP2,印度,加拿大,247
TP2,印度,瑞士,175
TP2,印度,德国,1094
TP2,印度,西班牙,42
TP2,印度,法国,377
TP2,印度,北爱尔兰,1245
TP2,印度,意大利,211
TP2,印度,日本,53
TP2,印度,荷兰,262
TP2,印度,新西兰,9
TP2,印度,俄罗斯,212
TP2,印度,美国,743
TP2,意大利,阿联酋,697
TP2,意大利,巴西,240
TP2,意大利,加拿大,25
TP2,意大利,瑞士,2020
TP2,意大利,德国,9693
TP2,意大利,西班牙,5411
TP2,意大利,法国,5505
TP2,意大利,北爱尔兰,8350
TP2,意大利,印度,163
TP2,意大利,日本,5
TP2,意大利,荷兰,1855
TP2,意大利,俄罗斯,2085
TP2,意大利,美国,1058
TP2,日本,阿联酋,131
TP2,日本,澳大利亚,343
TP2,日本,加拿大,94
TP2,日本,瑞士,11
TP2,日本,德国,285
TP2,日本,西班牙,2
TP2,日本,法国,183
TP2,日本,北爱尔兰,159
TP2,日本,印度,35
TP2,日本,意大利,6
TP2,日本,荷兰,146
TP2,日本,新西兰,40
TP2,日本,俄罗斯,23
TP2,日本,美国,1542
TP2,荷兰,阿联酋,909
TP2,荷兰,巴西,332
TP2,荷兰,加拿大,417
TP2,荷兰,瑞士,1658
TP2,荷兰,德国,4322
TP2,荷兰,西班牙,2877
TP2,荷兰,法国,2243
TP2,荷兰,北爱尔兰,8225
TP2,荷兰,印度,283
TP2,荷兰,意大利,2275
TP2,荷兰,日本,109
TP2,荷兰,俄罗斯,622
TP2,荷兰,美国,3270
TP2,新西兰,阿联酋,147
TP2,新西兰,澳大利亚,5257
TP2,新西兰,巴西,8
TP2,新西兰,加拿大,171
TP2,新西兰,德国,1
TP2,新西兰,西班牙,5
TP2,新西兰,北爱尔兰,5
TP2,新西兰,印度,10
TP2,新西兰,意大利,1
TP2,新西兰,日本,45
TP2,新西兰,美国,805
TP2,俄罗斯,阿联酋,1352
TP2,俄罗斯,巴西,3
TP2,俄罗斯,加拿大,4
TP2,俄罗斯,瑞士,954
TP2,俄罗斯,德国,4029
TP2,俄罗斯,西班牙,866
TP2,俄罗斯,法国,1204
TP2,俄罗斯,北爱尔兰,1308
TP2,俄罗斯,印度,227
TP2,俄罗斯,意大利,2157
TP2,俄罗斯,日本,13
TP2,俄罗斯,荷兰,668
TP2,俄罗斯,新西兰,1
TP2,俄罗斯,美国,525
